,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
101,The Perks of Being a Wallflower,2012,8.0,67.0,466910,17.74,103
102,Baby Driver,2017,7.6,86.0,446625,107.83,113
103,The Goonies,1985,7.8,62.0,246799,61.5,114
104,Hidden Figures,2016,7.8,74.0,204122,169.61,127
105,Training Day,2001,7.7,69.0,396120,76.63,122
106,A Clockwork Orange,1971,8.3,77.0,764557,6.21,136
107,The Fifth Element,1997,7.7,52.0,437365,63.54,126
108,The Shining,1980,8.4,66.0,908697,44.02,146
109,Aliens,1986,8.3,84.0,658201,85.16,137
110,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1242185,322.74,121
111,Anatomy of a Murder,1959,8.0,95.0,60413,11.9,161
112,Argo,2012,7.7,86.0,577584,136.03,120
113,Good Will Hunting,1997,8.3,70.0,871346,138.43,126
114,A Star Is Born,2018,7.6,88.0,340354,215.29,136
115,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,926677,112.0,133
116,Dances with Wolves,1990,8.0,72.0,242995,184.21,181
117,The Godfather: Part II,1974,9.0,90.0,1142911,57.3,202
118,The Truman Show,1998,8.1,90.0,951977,125.62,103
119,The Lion King,1994,8.5,88.0,952861,422.78,88
120,Spirited Away,2001,8.6,96.0,661968,10.06,125
121,About Time,2013,7.8,55.0,308744,15.32,123
122,Donnie Darko,2001,8.0,88.0,745353,1.48,113
123,Mission: Impossible - Fallout,2018,7.7,86.0,295633,220.16,147
124,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1500346,342.55,179
125,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,441995,54.51,115
126,Harry Potter and the Goblet of Fire,2005,7.7,81.0,554766,290.01,157
127,Snatch,2000,8.3,55.0,788707,30.33,102
128,There Will Be Blood,2007,8.2,93.0,524119,40.22,158
129,Stardust,2007,7.6,66.0,256754,38.63,127
130,12 Angry Men,1957,9.0,96.0,699246,4.36,96
131,Trainspotting,1996,8.1,83.0,639488,16.5,93
132,The Hunt,2012,8.3,77.0,287234,0.69,115
133,The Social Network,2010,7.7,95.0,632312,96.96,120
134,The Pianist,2002,8.5,85.0,739902,32.57,150
135,The Big Short,2015,7.8,81.0,371199,70.26,130
136,Logan,2017,8.1,77.0,657419,226.28,137
137,Dead Poets Society,1989,8.1,79.0,432023,95.86,128
138,Rocky,1976,8.1,70.0,523836,117.24,120
139,The Usual Suspects,1995,8.5,77.0,1000238,23.34,106
140,Kingsman: The Secret Service,2014,7.7,60.0,595355,128.26,129
141,Reservoir Dogs,1992,8.3,79.0,928017,2.83,99
142,Silver Linings Playbook,2012,7.7,81.0,666703,132.09,122
143,The Terminator,1984,8.0,84.0,803734,38.4,107
144,The Invisible Guest,2016,8.1,,148229,,106
145,The Help,2011,8.0,62.0,432045,169.71,146
146,Fargo,1996,8.1,85.0,623464,24.61,98
147,The Martian,2015,8.0,80.0,768509,228.43,144
148,Braveheart,1995,8.3,68.0,966718,75.6,178
149,Memento,2000,8.4,80.0,1136182,25.54,113
150,The Intouchables,2011,8.5,57.0,770667,13.18,112
